id;Код ОО;Задания с кратким ответом;Первичный балл;Балл;Task1;Task2;Task3;Task4;Task5;Task6;Task7;Task8;Task9;Task10;Task11;Task12;Task13;Task14;Task15;Task16;Task17;Task18;Task19;Task20;Task21;Task22;Task23;Task24;Task25;Task26;Task27
130;242043;---------+---------------00;1;7;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131;246016;-++--++--+-+-+-+++++++---00;14;62;0;1;1;0;0;1;1;0;0;1;0;1;0;1;0;1;1;1;1;1;1;1;0;0;0;0;0
132;246016;+++-++--++-+-+-+--+++++--00;15;64;1;1;1;0;1;1;0;0;1;1;0;1;0;1;0;1;0;0;1;1;1;1;1;0;0;0;0
133;246016;+++--+++-+--+--+---------00;9;48;1;1;1;0;0;1;1;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
134;246016;+++++++++++++++++++++++++00;25;90;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0
135;243015;+++--++--+-+-+++-----+---00;11;54;1;1;1;0;0;1;1;0;0;1;0;1;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0
136;246015;++++++--++++++++++++++-++10;23;85;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0
137;241036;++-+++---+++-++++-+--++-+00;16;67;1;1;0;1;1;1;0;0;0;1;1;1;0;1;1;1;1;0;1;0;0;1;1;0;1;0;0
138;205043;+-+--+-+-++----+--------+00;8;46;1;0;1;0;0;1;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
139;246015;++++-+++++++++-++++++++++10;24;88;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0
140;246046;-++-+++--++++--+-++++++--20;18;72;0;1;1;0;1;1;1;0;0;1;1;1;1;0;0;1;0;1;1;1;1;1;1;0;0;2;0
141;241036;+-+--++-++-+--++++++++---00;15;64;1;0;1;0;0;1;1;0;1;1;0;1;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0
142;242026;+++--+---++--------------00;6;40;1;1;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
143;246015;++++-+-+-+++-+-+++---+-+-00;15;64;1;1;1;1;0;1;0;1;0;1;1;1;0;1;0;1;1;1;0;0;0;1;0;1;0;0;0
144;243025;+++--++--+-+-+-+-----+---00;10;51;1;1;1;0;0;1;1;0;0;1;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0
145;246015;+++++++-++++---++++++++++02;23;85;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;2
146;241036;+++++-+-++-++++++----++++00;18;72;1;1;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0
147;244016;++---+++-+--+--+-+-------00;9;48;1;1;0;0;0;1;1;1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0
148;216023;+----+-----+--+++-+++++--00;11;54;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;1;1;1;1;1;0;0;0;0
149;243025;-+++-+---+-+-+++-+++++---00;14;62;0;1;1;1;0;1;0;0;0;1;0;1;0;1;1;1;0;1;1;1;1;1;0;0;0;0;0
150;223033;++---+---+--------+------00;5;34;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
151;246046;+-+-++-++++++++++++++++-+00;21;80;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0
152;246015;-++-++++-++++++++++++++-+11;23;85;0;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1
153;238013;+++-++++++++++-++++++++++01;24;88;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1
154;247016;+++++++-++-+-+-++++++++--10;20;78;1;1;1;1;1;1;1;0;1;1;0;1;0;1;0;1;1;1;1;1;1;1;1;0;0;1;0
155;205083;+-+-++---+-+---+-----+---00;8;46;1;0;1;0;1;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
156;204013;++---++--+-+-+-+--+--++--00;11;54;1;1;0;0;0;1;1;0;0;1;0;1;0;1;0;1;0;0;1;0;0;1;1;0;0;0;0
157;249046;++-+-+-+++++-++++-+++++-+20;21;80;1;1;0;1;0;1;0;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;0;1;2;0
158;204043;----++---+--+------------00;4;27;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
159;224093;+++--++--+++-+++--+++++-+00;17;70;1;1;1;0;0;1;1;0;0;1;1;1;0;1;1;1;0;0;1;1;1;1;1;0;1;0;0
160;243043;+++--+---+-+---+----++---00;9;48;1;1;1;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0
161;204023;++++++--+++++-++-++--+---00;16;67;1;1;1;1;1;1;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;1;0;0;0;0;0
162;238083;+++--++--+++---+-----+---00;10;51;1;1;1;0;0;1;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
163;247113;++---+---++-+-----+------00;7;43;1;1;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
164;205113;++-+-+-+-+++-+-+-----++--00;12;56;1;1;0;1;0;1;0;1;0;1;1;1;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0
165;244015;++++++++++++++-++++++++-+00;23;85;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;0;0
166;243025;+++++++++++++++++++++++++10;26;93;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
167;215093;++--+++--+-+-+++++++-+---00;15;64;1;1;0;0;1;1;1;0;0;1;0;1;0;1;1;1;1;1;1;1;0;1;0;0;0;0;0
168;242053;++++++++++-++++++++++++-+00;23;85;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0
169;204053;+++-+++-++-++---+-+---+--00;13;59;1;1;1;0;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0
170;247023;+++--+++++++++++++-++++-+00;21;80;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;0;0
171;205163;++-+++-+-++-+++++-++++++-00;19;75;1;1;0;1;1;1;0;1;0;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0
172;205113;---------+---------------00;1;7;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
173;205073;++++++++-++++--+---------00;13;59;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
