ID операции;Дата;ID тура;ID туроператора;Количество проданных путёвок
OP0082;02.01.2022;R1119;T104;18
OP0083;02.01.2022;R1116;T100;3
OP0084;02.01.2022;R1131;T106;20
OP0085;02.01.2022;R1130;T111;11
OP0086;02.01.2022;R1110;T120;8
OP0087;02.01.2022;R1119;T120;15
OP0088;02.01.2022;R1125;T111;10
OP0089;02.01.2022;R1118;T101;3
OP0090;02.01.2022;R1121;T101;11
OP0091;02.01.2022;R1132;T100;2
OP0092;02.01.2022;R1122;T100;15
OP0093;02.01.2022;R1102;T117;13
OP0094;02.01.2022;R1119;T113;9
OP0095;02.01.2022;R1116;T111;18
OP0096;02.01.2022;R1124;T101;11
OP0097;02.01.2022;R1116;T113;2
OP0098;02.01.2022;R1120;T109;17
OP0099;02.01.2022;R1125;T112;19
OP0100;02.01.2022;R1124;T111;13
OP0101;02.01.2022;R1114;T100;12
OP0102;02.01.2022;R1104;T109;12
OP0103;02.01.2022;R1129;T104;10
OP0104;02.01.2022;R1119;T102;8
OP0105;02.01.2022;R1105;T102;2
OP0106;02.01.2022;R1116;T112;4
OP0107;02.01.2022;R1119;T119;4
OP0108;02.01.2022;R1108;T118;6
OP0109;02.01.2022;R1115;T102;10
OP0110;02.01.2022;R1101;T104;14
OP0111;02.01.2022;R1132;T109;4
OP0112;02.01.2022;R1104;T109;13
OP0113;02.01.2022;R1116;T106;13
OP0114;02.01.2022;R1112;T114;14
OP0115;02.01.2022;R1104;T115;18
OP0116;02.01.2022;R1126;T103;7
OP0117;02.01.2022;R1112;T102;20
OP0118;02.01.2022;R1104;T110;16
OP0119;02.01.2022;R1127;T100;2
OP0120;02.01.2022;R1117;T112;20
OP0121;02.01.2022;R1125;T111;2
OP0122;02.01.2022;R1111;T117;6
OP0123;02.01.2022;R1126;T114;4
OP0124;02.01.2022;R1107;T117;5
OP0125;02.01.2022;R1121;T120;7
OP0126;02.01.2022;R1128;T102;7
OP0127;02.01.2022;R1129;T105;2
OP0128;03.01.2022;R1115;T113;11
OP0129;03.01.2022;R1121;T117;2
OP0130;03.01.2022;R1118;T111;18
OP0131;03.01.2022;R1119;T103;12
OP0132;03.01.2022;R1120;T101;10
OP0133;03.01.2022;R1106;T107;15
OP0134;03.01.2022;R1115;T114;5
OP0135;03.01.2022;R1121;T111;10
OP0136;03.01.2022;R1109;T110;18
OP0137;03.01.2022;R1108;T109;4
OP0138;03.01.2022;R1107;T113;18
OP0139;03.01.2022;R1112;T100;8
OP0140;03.01.2022;R1131;T100;6
OP0141;03.01.2022;R1108;T112;17
OP0142;03.01.2022;R1132;T115;17
OP0143;03.01.2022;R1112;T101;19
OP0144;03.01.2022;R1104;T114;15
OP0145;03.01.2022;R1125;T110;10
OP0146;03.01.2022;R1121;T107;12
OP0147;03.01.2022;R1131;T104;17
OP0148;03.01.2022;R1108;T120;19
OP0149;03.01.2022;R1128;T101;3
OP0150;03.01.2022;R1130;T111;4
OP0151;03.01.2022;R1102;T103;10
OP0152;03.01.2022;R1116;T116;4
OP0153;03.01.2022;R1118;T115;15
OP0154;03.01.2022;R1119;T112;19
OP0155;03.01.2022;R1112;T112;14
OP0156;03.01.2022;R1124;T102;7
OP0157;03.01.2022;R1104;T115;4
OP0158;03.01.2022;R1110;T107;9
OP0159;03.01.2022;R1102;T119;15
OP0160;03.01.2022;R1120;T105;17
OP0161;03.01.2022;R1110;T103;3
OP0162;03.01.2022;R1113;T106;14
OP0163;03.01.2022;R1104;T104;6
OP0164;03.01.2022;R1119;T120;13
OP0165;03.01.2022;R1123;T107;7
OP0166;03.01.2022;R1106;T106;18
OP0167;03.01.2022;R1112;T117;12
OP0168;03.01.2022;R1108;T104;15
OP0169;03.01.2022;R1123;T102;8
OP0170;03.01.2022;R1105;T118;2
OP0171;03.01.2022;R1118;T119;19
OP0172;03.01.2022;R1105;T106;20
OP0173;03.01.2022;R1107;T119;4
OP0174;03.01.2022;R1132;T101;16
OP0175;03.01.2022;R1129;T115;2
OP0176;03.01.2022;R1130;T120;16
OP0177;03.01.2022;R1119;T104;17
OP0178;03.01.2022;R1124;T116;2
OP0179;03.01.2022;R1122;T110;12
OP0180;03.01.2022;R1123;T119;13
OP0181;03.01.2022;R1111;T114;2
OP0182;03.01.2022;R1125;T118;17
OP0183;03.01.2022;R1121;T108;10
OP0184;03.01.2022;R1110;T108;20
OP0185;03.01.2022;R1132;T102;10
OP0186;03.01.2022;R1118;T108;6
OP0187;03.01.2022;R1112;T110;20
OP0188;03.01.2022;R1130;T104;3
OP0189;03.01.2022;R1101;T106;8
OP0190;04.01.2022;R1124;T101;15
OP0191;04.01.2022;R1114;T110;13
OP0192;04.01.2022;R1105;T104;8
OP0193;04.01.2022;R1120;T108;13
OP0194;04.01.2022;R1106;T107;2
OP0195;04.01.2022;R1129;T117;2
OP0196;04.01.2022;R1118;T118;18
OP0197;04.01.2022;R1126;T115;13
OP0198;04.01.2022;R1118;T117;10
OP0199;04.01.2022;R1130;T110;7
OP0200;04.01.2022;R1126;T113;9
OP0201;04.01.2022;R1113;T100;20
OP0202;04.01.2022;R1101;T106;8
OP0203;04.01.2022;R1106;T112;16
OP0204;04.01.2022;R1108;T116;8
OP0205;04.01.2022;R1125;T104;4
OP0206;04.01.2022;R1106;T108;9
OP0207;04.01.2022;R1106;T101;18
OP0208;04.01.2022;R1131;T107;17
OP0209;04.01.2022;R1130;T115;13
OP0210;04.01.2022;R1131;T102;15
OP0211;04.01.2022;R1101;T117;13
OP0212;04.01.2022;R1125;T104;16
OP0213;04.01.2022;R1121;T106;19
OP0214;04.01.2022;R1130;T118;11
OP0215;04.01.2022;R1128;T107;6
OP0216;04.01.2022;R1115;T112;17
OP0217;04.01.2022;R1119;T115;8
OP0218;04.01.2022;R1103;T120;13
OP0219;04.01.2022;R1123;T100;15
OP0220;04.01.2022;R1108;T106;13
OP0221;04.01.2022;R1109;T110;15
OP0222;04.01.2022;R1102;T115;6
OP0223;04.01.2022;R1102;T104;7
OP0224;04.01.2022;R1131;T115;20
OP0225;04.01.2022;R1103;T119;17
OP0226;04.01.2022;R1131;T109;16
OP0227;04.01.2022;R1117;T105;18
OP0228;04.01.2022;R1131;T102;3
OP0229;04.01.2022;R1113;T119;5
OP0230;04.01.2022;R1101;T116;3
OP0231;04.01.2022;R1131;T119;11
OP0232;04.01.2022;R1107;T110;17
OP0233;04.01.2022;R1130;T114;12
OP0234;04.01.2022;R1104;T106;9
OP0235;04.01.2022;R1110;T109;10
OP0236;04.01.2022;R1125;T101;7
OP0237;04.01.2022;R1124;T101;9
OP0238;04.01.2022;R1109;T111;17
OP0239;05.01.2022;R1126;T110;9
OP0240;05.01.2022;R1107;T109;20
OP0241;05.01.2022;R1118;T116;5
OP0242;05.01.2022;R1120;T102;6
OP0243;05.01.2022;R1124;T115;5
OP0244;05.01.2022;R1105;T101;18
OP0245;05.01.2022;R1102;T108;3
OP0246;05.01.2022;R1108;T114;6
OP0247;05.01.2022;R1121;T114;17
OP0248;05.01.2022;R1122;T108;7
OP0249;05.01.2022;R1102;T115;18
OP0250;05.01.2022;R1122;T106;8
OP0251;05.01.2022;R1127;T116;20
OP0252;05.01.2022;R1125;T119;8
OP0253;05.01.2022;R1107;T101;4
OP0254;05.01.2022;R1101;T119;19
OP0255;05.01.2022;R1115;T112;13
OP0256;05.01.2022;R1127;T120;12
OP0257;05.01.2022;R1132;T116;11
OP0258;05.01.2022;R1110;T101;20
OP0259;05.01.2022;R1127;T110;14
OP0260;05.01.2022;R1101;T111;11
OP0261;05.01.2022;R1116;T108;7
OP0262;05.01.2022;R1122;T100;2
OP0263;05.01.2022;R1131;T109;16
OP0264;05.01.2022;R1104;T120;10
OP0265;05.01.2022;R1125;T107;3
OP0266;05.01.2022;R1125;T113;11
OP0267;05.01.2022;R1116;T112;5
OP0268;05.01.2022;R1121;T115;15
OP0269;05.01.2022;R1112;T103;14
OP0270;05.01.2022;R1102;T107;13
OP0271;05.01.2022;R1130;T105;3
OP0272;05.01.2022;R1116;T120;14
OP0273;05.01.2022;R1113;T118;13
OP0274;05.01.2022;R1110;T108;2
OP0275;05.01.2022;R1112;T105;5
OP0276;05.01.2022;R1127;T120;19
OP0277;05.01.2022;R1119;T117;9
OP0278;05.01.2022;R1116;T115;19
OP0279;05.01.2022;R1108;T107;14
OP0280;05.01.2022;R1106;T110;3
OP0281;05.01.2022;R1112;T102;16
OP0282;05.01.2022;R1131;T107;9
OP0283;05.01.2022;R1128;T105;8
OP0284;05.01.2022;R1114;T101;8
OP0285;05.01.2022;R1130;T109;16
OP0286;05.01.2022;R1119;T116;12
OP0287;05.01.2022;R1122;T108;7
OP0288;05.01.2022;R1121;T111;14
OP0289;05.01.2022;R1129;T109;6
OP0290;05.01.2022;R1114;T115;3
OP0291;05.01.2022;R1124;T114;7
OP0292;06.01.2022;R1104;T115;6
OP0293;06.01.2022;R1111;T119;13
OP0294;06.01.2022;R1112;T120;17
OP0295;06.01.2022;R1115;T107;8
OP0296;06.01.2022;R1118;T120;5
OP0297;06.01.2022;R1111;T112;3
OP0298;06.01.2022;R1123;T111;9
OP0299;06.01.2022;R1126;T104;19
OP0300;06.01.2022;R1105;T112;13
OP0301;06.01.2022;R1105;T106;13
OP0302;06.01.2022;R1121;T119;14
OP0303;06.01.2022;R1121;T102;7
OP0304;06.01.2022;R1110;T112;8
OP0305;06.01.2022;R1120;T110;9
OP0306;06.01.2022;R1111;T115;4
OP0307;06.01.2022;R1127;T118;16
OP0308;06.01.2022;R1101;T105;10
OP0309;06.01.2022;R1118;T104;2
OP0310;06.01.2022;R1131;T105;19
OP0311;06.01.2022;R1111;T115;14
OP0312;06.01.2022;R1110;T104;6
OP0313;06.01.2022;R1115;T102;17
OP0314;06.01.2022;R1108;T110;20
OP0315;06.01.2022;R1124;T102;19
OP0316;06.01.2022;R1108;T120;11
OP0317;06.01.2022;R1128;T100;8
OP0318;06.01.2022;R1106;T120;5
OP0319;06.01.2022;R1130;T115;3
OP0320;06.01.2022;R1105;T115;18
OP0321;06.01.2022;R1129;T105;12
OP0322;06.01.2022;R1101;T100;20
OP0323;06.01.2022;R1115;T119;8
OP0324;06.01.2022;R1106;T119;20
OP0325;06.01.2022;R1107;T118;6
OP0326;06.01.2022;R1121;T117;11
OP0327;06.01.2022;R1101;T114;11
OP0328;06.01.2022;R1108;T118;16
OP0329;06.01.2022;R1129;T100;20
OP0330;06.01.2022;R1104;T109;16
OP0331;06.01.2022;R1119;T105;5
OP0332;06.01.2022;R1108;T120;17
OP0333;06.01.2022;R1132;T106;13
OP0334;06.01.2022;R1119;T112;11
OP0335;06.01.2022;R1115;T111;11
OP0336;06.01.2022;R1105;T117;2
OP0337;06.01.2022;R1114;T114;15
OP0338;06.01.2022;R1131;T109;19
OP0339;06.01.2022;R1128;T100;4
OP0340;06.01.2022;R1128;T112;4
OP0341;06.01.2022;R1128;T102;16
OP0342;06.01.2022;R1122;T115;17
OP0343;06.01.2022;R1124;T119;16
OP0344;06.01.2022;R1111;T107;10
OP0345;06.01.2022;R1104;T118;12
OP0346;06.01.2022;R1111;T119;18
OP0347;06.01.2022;R1113;T116;9
OP0348;06.01.2022;R1102;T105;12
OP0349;06.01.2022;R1104;T118;6
OP0350;07.01.2022;R1124;T114;5
OP0351;07.01.2022;R1127;T109;7
OP0352;07.01.2022;R1115;T104;15
OP0353;07.01.2022;R1120;T101;18
OP0354;07.01.2022;R1118;T119;5
OP0355;07.01.2022;R1111;T112;20
OP0356;07.01.2022;R1112;T109;16
OP0357;07.01.2022;R1108;T111;17
OP0358;07.01.2022;R1107;T119;3
OP0359;07.01.2022;R1122;T113;16
OP0360;07.01.2022;R1101;T115;10
OP0361;07.01.2022;R1115;T118;14
OP0362;07.01.2022;R1119;T100;7
OP0363;07.01.2022;R1115;T106;8
OP0364;07.01.2022;R1106;T105;12
OP0365;07.01.2022;R1109;T116;17
OP0366;07.01.2022;R1124;T104;13
OP0367;07.01.2022;R1130;T112;5
OP0368;07.01.2022;R1108;T117;18
OP0369;07.01.2022;R1101;T101;20
OP0370;07.01.2022;R1120;T108;5
OP0371;07.01.2022;R1117;T102;10
OP0372;07.01.2022;R1118;T112;4
OP0373;07.01.2022;R1119;T117;11
OP0374;07.01.2022;R1109;T104;15
OP0375;07.01.2022;R1128;T113;17
OP0376;07.01.2022;R1110;T120;15
OP0377;07.01.2022;R1101;T116;9
OP0378;07.01.2022;R1127;T109;2
OP0379;07.01.2022;R1127;T105;7
OP0380;07.01.2022;R1122;T102;9
OP0381;07.01.2022;R1129;T104;13
OP0382;07.01.2022;R1107;T108;3
OP0383;07.01.2022;R1113;T112;4
OP0384;07.01.2022;R1132;T114;8
OP0385;07.01.2022;R1122;T109;15
OP0386;07.01.2022;R1126;T109;15
OP0387;07.01.2022;R1108;T103;8
OP0388;07.01.2022;R1107;T114;7
OP0389;07.01.2022;R1111;T109;17
OP0390;07.01.2022;R1118;T104;9
OP0391;07.01.2022;R1132;T113;3
OP0392;07.01.2022;R1118;T110;7
OP0393;07.01.2022;R1117;T112;4
OP0394;07.01.2022;R1112;T106;18
OP0395;07.01.2022;R1129;T119;12
OP0396;07.01.2022;R1109;T108;10
OP0397;07.01.2022;R1117;T105;14
OP0398;07.01.2022;R1113;T114;5
OP0399;07.01.2022;R1131;T113;13
OP0400;07.01.2022;R1126;T110;18
OP0401;07.01.2022;R1123;T107;10
OP0402;07.01.2022;R1129;T101;19
OP0403;07.01.2022;R1117;T117;13
OP0404;07.01.2022;R1119;T101;7
OP0405;07.01.2022;R1122;T117;6
OP0406;07.01.2022;R1120;T114;16
OP0407;08.01.2022;R1103;T102;10
OP0408;08.01.2022;R1130;T112;4
OP0409;08.01.2022;R1111;T103;18
OP0410;08.01.2022;R1114;T120;3
OP0411;08.01.2022;R1122;T105;6
OP0412;08.01.2022;R1127;T103;19
OP0413;08.01.2022;R1109;T118;18
OP0414;08.01.2022;R1127;T108;5
OP0415;08.01.2022;R1102;T112;20
OP0416;08.01.2022;R1132;T113;17
OP0417;08.01.2022;R1111;T116;18
OP0418;08.01.2022;R1114;T104;4
OP0419;08.01.2022;R1113;T109;12
OP0420;08.01.2022;R1125;T112;5
OP0421;08.01.2022;R1117;T111;3
OP0422;08.01.2022;R1113;T111;15
OP0423;08.01.2022;R1119;T104;4
OP0424;08.01.2022;R1131;T109;3
OP0425;08.01.2022;R1101;T118;20
OP0426;08.01.2022;R1117;T119;19
OP0427;08.01.2022;R1104;T100;8
OP0428;08.01.2022;R1126;T110;2
OP0429;08.01.2022;R1118;T102;9
OP0430;08.01.2022;R1104;T106;14
OP0431;08.01.2022;R1104;T116;4
OP0432;08.01.2022;R1131;T110;3
OP0433;08.01.2022;R1122;T116;16
OP0434;08.01.2022;R1112;T116;13
OP0435;08.01.2022;R1114;T111;5
OP0436;08.01.2022;R1109;T109;12
OP0437;08.01.2022;R1130;T120;17
OP0438;08.01.2022;R1121;T112;18
OP0439;08.01.2022;R1108;T120;4
OP0440;08.01.2022;R1121;T118;2
OP0441;08.01.2022;R1132;T118;11
OP0442;08.01.2022;R1127;T120;5
OP0443;08.01.2022;R1123;T106;5
OP0444;08.01.2022;R1119;T110;6
OP0445;08.01.2022;R1114;T102;17
OP0446;08.01.2022;R1117;T115;12
OP0447;08.01.2022;R1123;T111;3
OP0448;08.01.2022;R1103;T103;13
OP0449;08.01.2022;R1103;T113;10
OP0450;08.01.2022;R1114;T107;15
OP0451;08.01.2022;R1111;T120;14
OP0452;08.01.2022;R1112;T108;9
OP0453;08.01.2022;R1104;T119;13
OP0454;08.01.2022;R1106;T110;4
OP0455;08.01.2022;R1130;T118;12
OP0456;08.01.2022;R1121;T106;16
OP0457;08.01.2022;R1111;T114;2
OP0458;08.01.2022;R1125;T105;11
OP0459;08.01.2022;R1112;T111;9
OP0460;08.01.2022;R1109;T102;10
OP0461;09.01.2022;R1110;T107;20
OP0462;09.01.2022;R1108;T109;17
OP0463;09.01.2022;R1132;T112;18
OP0464;09.01.2022;R1114;T102;10
OP0465;09.01.2022;R1101;T118;11
OP0466;09.01.2022;R1122;T106;11
OP0467;09.01.2022;R1118;T105;12
OP0468;09.01.2022;R1111;T109;11
OP0469;09.01.2022;R1105;T118;10
OP0470;09.01.2022;R1128;T118;12
OP0471;09.01.2022;R1121;T104;4
OP0472;09.01.2022;R1101;T120;10
OP0473;09.01.2022;R1125;T109;20
OP0474;09.01.2022;R1108;T104;20
OP0475;09.01.2022;R1107;T113;6
OP0476;09.01.2022;R1120;T101;18
OP0477;09.01.2022;R1115;T120;17
OP0478;09.01.2022;R1108;T112;11
OP0479;09.01.2022;R1101;T113;4
OP0480;09.01.2022;R1129;T120;19
OP0481;09.01.2022;R1128;T108;19
OP0482;09.01.2022;R1113;T116;2
OP0483;09.01.2022;R1115;T104;14
OP0484;09.01.2022;R1105;T104;10
OP0485;09.01.2022;R1124;T102;10
OP0486;09.01.2022;R1104;T105;11
OP0487;09.01.2022;R1124;T109;20
OP0488;09.01.2022;R1108;T109;7
OP0489;09.01.2022;R1122;T110;13
OP0490;09.01.2022;R1131;T118;12
OP0491;09.01.2022;R1116;T118;17
OP0492;09.01.2022;R1108;T120;9
OP0493;09.01.2022;R1101;T119;15
OP0494;09.01.2022;R1109;T113;2
OP0495;09.01.2022;R1112;T116;5
OP0496;09.01.2022;R1110;T116;10
OP0497;09.01.2022;R1112;T118;19
OP0498;09.01.2022;R1106;T101;17
OP0499;09.01.2022;R1116;T120;7
OP0500;09.01.2022;R1103;T102;10
OP0501;09.01.2022;R1112;T120;16
OP0502;09.01.2022;R1127;T105;2
OP0503;09.01.2022;R1122;T116;18
OP0504;09.01.2022;R1120;T105;14
OP0505;09.01.2022;R1125;T114;4
OP0506;09.01.2022;R1130;T104;18
OP0507;09.01.2022;R1121;T116;2
OP0508;09.01.2022;R1124;T100;14
OP0509;09.01.2022;R1126;T110;15
OP0510;09.01.2022;R1102;T106;16
OP0511;09.01.2022;R1114;T116;14
OP0512;09.01.2022;R1101;T106;19
OP0513;09.01.2022;R1103;T115;17
OP0514;09.01.2022;R1114;T104;14
OP0515;09.01.2022;R1120;T120;18
OP0516;09.01.2022;R1105;T111;3
OP0517;09.01.2022;R1119;T104;4
OP0518;09.01.2022;R1101;T109;4
OP0519;09.01.2022;R1130;T104;9
OP0520;10.01.2022;R1127;T119;20
OP0521;10.01.2022;R1126;T120;3
OP0522;10.01.2022;R1124;T112;4
OP0523;10.01.2022;R1112;T103;14
OP0524;10.01.2022;R1104;T117;16
OP0525;10.01.2022;R1126;T108;8
OP0526;10.01.2022;R1104;T100;19
OP0527;10.01.2022;R1128;T100;10
OP0528;10.01.2022;R1121;T118;13
OP0529;10.01.2022;R1117;T116;19
OP0530;10.01.2022;R1124;T111;7
OP0531;10.01.2022;R1131;T105;13
OP0532;10.01.2022;R1101;T117;15
OP0533;10.01.2022;R1101;T115;17
OP0534;10.01.2022;R1110;T119;4
OP0535;10.01.2022;R1129;T105;3
OP0536;10.01.2022;R1131;T117;7
OP0537;10.01.2022;R1118;T120;5
OP0538;10.01.2022;R1113;T100;11
OP0539;10.01.2022;R1131;T118;6
OP0540;10.01.2022;R1112;T105;16
OP0541;10.01.2022;R1119;T105;2
OP0542;10.01.2022;R1118;T100;2
OP0543;10.01.2022;R1130;T113;14
OP0544;10.01.2022;R1114;T110;18
OP0545;10.01.2022;R1107;T105;2
OP0546;10.01.2022;R1113;T111;20
OP0547;10.01.2022;R1109;T105;17
OP0548;10.01.2022;R1107;T111;4
OP0549;10.01.2022;R1120;T110;16
OP0550;10.01.2022;R1129;T113;3
OP0551;10.01.2022;R1119;T115;3
OP0552;10.01.2022;R1101;T101;18
OP0553;10.01.2022;R1111;T107;17
OP0554;10.01.2022;R1109;T117;2
OP0555;10.01.2022;R1127;T108;2
OP0556;10.01.2022;R1124;T111;11
OP0557;10.01.2022;R1112;T105;6
OP0558;10.01.2022;R1113;T100;12
OP0559;10.01.2022;R1120;T104;20
OP0560;10.01.2022;R1118;T102;3
OP0561;10.01.2022;R1113;T108;13
OP0562;10.01.2022;R1120;T117;17
OP0563;10.01.2022;R1104;T104;19
OP0564;10.01.2022;R1105;T101;20
OP0565;10.01.2022;R1113;T109;12
OP0566;10.01.2022;R1128;T103;7
OP0567;10.01.2022;R1113;T103;10
OP0568;10.01.2022;R1116;T109;9
OP0569;10.01.2022;R1110;T105;12
OP0570;10.01.2022;R1104;T106;18
OP0571;10.01.2022;R1104;T107;11
OP0572;10.01.2022;R1128;T115;18
OP0573;10.01.2022;R1111;T103;9
OP0574;10.01.2022;R1103;T101;13
OP0575;10.01.2022;R1121;T120;16
OP0576;10.01.2022;R1115;T113;14
OP0577;10.01.2022;R1105;T112;6
OP0578;11.01.2022;R1106;T108;4
OP0579;11.01.2022;R1103;T111;6
OP0580;11.01.2022;R1132;T105;7
OP0581;11.01.2022;R1120;T111;8
OP0582;11.01.2022;R1110;T116;6
OP0583;11.01.2022;R1124;T100;3
OP0584;11.01.2022;R1109;T119;5
OP0585;11.01.2022;R1127;T105;7
OP0586;11.01.2022;R1126;T106;7
OP0587;11.01.2022;R1132;T115;15
OP0588;11.01.2022;R1116;T108;4
OP0589;11.01.2022;R1104;T104;7
OP0590;11.01.2022;R1115;T116;10
OP0591;11.01.2022;R1115;T114;5
OP0592;11.01.2022;R1129;T120;5
OP0593;11.01.2022;R1126;T105;10
OP0594;11.01.2022;R1114;T117;6
OP0595;11.01.2022;R1119;T110;8
OP0596;11.01.2022;R1123;T104;9
OP0597;11.01.2022;R1113;T101;17
OP0598;11.01.2022;R1106;T107;8
OP0599;11.01.2022;R1107;T114;11
OP0600;11.01.2022;R1123;T111;11
OP0601;11.01.2022;R1102;T101;20
OP0602;11.01.2022;R1104;T111;20
OP0603;11.01.2022;R1102;T113;10
OP0604;11.01.2022;R1119;T118;5
OP0605;11.01.2022;R1113;T101;14
OP0606;11.01.2022;R1129;T111;5
OP0607;11.01.2022;R1114;T116;12
OP0608;11.01.2022;R1107;T104;19
OP0609;11.01.2022;R1111;T112;18
OP0610;11.01.2022;R1111;T108;15
OP0611;11.01.2022;R1128;T116;18
OP0612;11.01.2022;R1101;T114;14
OP0613;11.01.2022;R1106;T110;17
OP0614;11.01.2022;R1106;T112;12
OP0615;11.01.2022;R1110;T111;16
OP0616;11.01.2022;R1128;T115;19
OP0617;11.01.2022;R1101;T118;10
OP0618;11.01.2022;R1117;T107;3
OP0619;11.01.2022;R1121;T104;11
OP0620;11.01.2022;R1124;T115;2
OP0621;11.01.2022;R1103;T106;14
OP0622;11.01.2022;R1127;T116;20
OP0623;11.01.2022;R1109;T120;19
OP0624;11.01.2022;R1109;T116;8
OP0625;11.01.2022;R1125;T104;14
OP0626;11.01.2022;R1122;T109;6
OP0627;11.01.2022;R1116;T109;3
OP0628;11.01.2022;R1112;T120;9
OP0629;11.01.2022;R1110;T120;4
OP0630;11.01.2022;R1132;T119;8
OP0631;11.01.2022;R1121;T106;11
OP0632;11.01.2022;R1122;T103;12
OP0633;11.01.2022;R1131;T115;15
OP0634;12.01.2022;R1107;T103;9
OP0635;12.01.2022;R1123;T105;5
OP0636;12.01.2022;R1105;T111;19
OP0637;12.01.2022;R1106;T114;10
OP0638;12.01.2022;R1118;T106;18
OP0639;12.01.2022;R1103;T114;13
OP0640;12.01.2022;R1129;T108;5
OP0641;12.01.2022;R1129;T101;13
OP0642;12.01.2022;R1106;T116;16
OP0643;12.01.2022;R1116;T107;7
OP0644;12.01.2022;R1120;T104;9
OP0645;12.01.2022;R1123;T103;19
OP0646;12.01.2022;R1113;T108;9
OP0647;12.01.2022;R1105;T106;3
OP0648;12.01.2022;R1128;T100;16
OP0649;12.01.2022;R1102;T120;11
OP0650;12.01.2022;R1122;T104;4
OP0651;12.01.2022;R1105;T118;5
OP0652;12.01.2022;R1121;T112;6
OP0653;12.01.2022;R1131;T109;14
OP0654;12.01.2022;R1119;T120;13
OP0655;12.01.2022;R1130;T116;2
OP0656;12.01.2022;R1131;T119;15
OP0657;12.01.2022;R1129;T114;5
OP0658;12.01.2022;R1127;T103;4
OP0659;12.01.2022;R1114;T108;14
OP0660;12.01.2022;R1122;T101;3
OP0661;12.01.2022;R1116;T108;15
OP0662;12.01.2022;R1102;T107;5
OP0663;12.01.2022;R1105;T113;4
